Frame	CPU Total (ms)	CPU Boids (ms)	CPU Data Update (ms)	CPU Render Dispatch (ms)	GPU Render (ms)
117	2.8105	2.6547	0.0226	0.0556	0.130016
118	2.7755	2.6333	0.022	0.0527	0.130688
119	2.7393	2.7388	0.0231	0.0426	0.130368
120	2.7061	2.6398	0.0233	0.0359	0.128352
121	2.8083	2.6508	0.0224	0.032	0.130368
122	2.7068	2.6404	0.0224	0.031	0.130624
123	2.7159	2.6721	0.0217	0.0305	0.1312
124	2.7048	2.6625	0.0243	0.0305	0.129984
125	2.772	2.4252	0.0353	0.0495	0.12848
126	2.7602	2.5356	0.0234	0.049	0.1312
127	2.565	2.9395	0.022	0.0593	0.130944
128	2.6506	2.5919	0.0222	0.0574	0.129888
129	3.0579	2.6918	0.0248	0.0544	0.130912
130	2.717	2.3933	0.0215	0.0563	0.131872
131	2.8015	2.3434	0.0212	0.0543	0.128448
132	2.4756	2.552	0.0217	0.0428	0.131072
133	2.4095	2.7997	0.0216	0.034	0.13216
134	2.6345	3.0142	0.024	0.0423	0.132
135	2.9002	2.4887	0.0245	0.0505	0.132512
136	3.1377	2.4325	0.0214	0.063	0.128096
137	2.6261	2.3323	0.0212	0.0728	0.131648
138	2.5192	2.3627	0.0221	0.0454	0.131104
139	2.402	2.8974	0.0223	0.035	0.132192
140	2.4575	2.9362	0.0273	0.0522	0.1312
141	2.9996	2.8484	0.0249	0.0514	0.128416
142	3.0614	3.1146	0.0235	0.0631	0.130944
143	2.9674	2.6469	0.0223	0.0587	0.131776
144	3.2372	2.6595	0.0222	0.0651	0.132448
145	2.7336	2.653	0.0386	0.0447	0.132448
146	2.7509	2.6068	0.0221	0.0463	0.128448
147	2.7771	2.838	0.0223	0.0518	0.131648
148	2.6986	2.603	0.0219	0.0466	0.128096
149	2.9354	2.6409	0.0219	0.0494	0.132416
150	2.6661	2.6093	0.0247	0.0305	0.132096
151	2.7352	2.9206	0.0227	0.0493	0.128224
152	2.7228	2.4665	0.0221	0.0557	0.130432
153	2.9869	2.3362	0.0219	0.0315	0.132288
154	2.5274	2.3404	0.0211	0.0284	0.130944
155	2.399	2.4282	0.023	0.03	0.131328
156	2.4117	2.3509	0.0582	0.0356	0.131904
157	2.5251	2.3171	0.0213	0.0498	0.128128
158	2.4844	2.3159	0.0212	0.0512	0.130976
159	2.3897	2.3085	0.0213	0.0372	0.130848
160	2.3878	2.3031	0.0217	0.038	0.131072
161	2.398	2.9683	0.0248	0.0489	0.132128
162	2.3617	2.3945	0.0223	0.0278	0.132448
163	3.0702	2.3078	0.0211	0.0505	0.128128
164	2.4934	2.3887	0.0214	0.0512	0.128704
165	2.3652	2.2878	0.0222	0.0276	0.12832
166	2.4905	2.5722	0.0285	0.053	0.128896
167	2.3719	2.3847	0.0215	0.0432	0.131296
168	2.7117	2.4289	0.0222	0.0679	0.131744
169	2.4894	2.8171	0.0217	0.055	0.1304
170	2.5282	2.3961	0.0216	0.0496	0.130624
171	2.9253	2.6098	0.0265	0.0575	0.127744
172	2.5045	2.4997	0.022	0.058	0.12752
173	2.7228	2.4552	0.0227	0.0556	0.130656
174	2.6202	2.7497	0.0252	0.059	0.127712
175	2.5556	3.1766	0.0249	0.0483	0.130528
176	2.8752	2.891	0.0239	0.0648	0.130336
177	3.2996	3.2183	0.0299	0.0632	0.128416
178	3.0146	3.2849	0.0239	0.0657	0.130272
179	3.3566	2.5839	0.0222	0.068	0.127552
180	3.4066	2.3661	0.0215	0.0613	0.130816
181	2.6819	2.9872	0.023	0.048	0.131424
182	2.4626	2.3355	0.0215	0.0484	0.131584
183	3.1016	2.4943	0.022	0.0576	0.128672
184	2.4361	2.4005	0.0217	0.0506	0.1304
185	2.6013	2.3412	0.0215	0.0572	0.127872
186	2.5014	2.6854	0.0233	0.0509	0.131072
187	2.4554	2.7164	0.0224	0.064	0.13184
188	2.7893	2.5934	0.0221	0.0516	0.130336
189	2.8217	2.2834	0.0311	0.0529	0.128352
190	2.6814	2.2998	0.0213	0.0447	0.132096
191	2.3878	2.4401	0.0233	0.048	0.13216
192	2.3743	2.7589	0.0272	0.039	0.132384
193	2.5468	2.5459	0.0218	0.0597	0.130688
194	2.8701	2.5313	0.0219	0.0534	0.127872
195	2.6224	2.5798	0.0459	0.0389	0.131744
196	2.6034	2.2771	0.0219	0.0372	0.130432
197	2.6988	2.5057	0.0247	0.0485	0.131808
198	2.3508	2.6476	0.0221	0.0376	0.131712
199	2.6334	2.3223	0.0221	0.065	0.128288
200	2.7639	2.2692	0.0221	0.0579	0.13152
201	2.4392	2.2827	0.0221	0.0639	0.132128
202	2.3518	2.2537	0.0211	0.0415	0.13168
203	2.3647	3.0338	0.024	0.0417	0.130976
204	2.3196	2.3355	0.0225	0.0322	0.131264
205	3.1453	2.2857	0.0214	0.0575	0.128032
206	2.4235	2.6872	0.0222	0.044	0.131648
207	2.3737	2.3046	0.0217	0.0451	0.131936
208	2.7988	2.5624	0.0241	0.0562	0.128448
209	2.3864	2.2684	0.0218	0.0402	0.131392
210	2.6734	2.2541	0.0244	0.057	0.131424
211	2.356	2.3155	0.0221	0.0439	0.128192
212	2.3473	2.5259	0.0215	0.0481	0.130944
213	2.4211	2.5948	0.0283	0.0563	0.131712
214	2.64	3.1529	0.023	0.0617	0.131936
215	2.7607	2.4674	0.0219	0.0717	0.13152
216	3.2718	2.332	0.0213	0.0578	0.128896
217	2.5729	2.2528	0.0214	0.0525	0.128192
218	2.4143	3.0781	0.0246	0.0413	0.13216
219	2.3395	2.546	0.0222	0.0469	0.131552
220	3.1894	2.2752	0.051	0.0538	0.131968
221	2.6543	2.2387	0.0213	0.0563	0.128864
222	2.3982	2.5143	0.0224	0.0474	0.131072
223	2.317	2.4803	0.0217	0.0399	0.130848
224	2.5925	2.499	0.023	0.0402	0.131424
225	2.5451	2.5111	0.0223	0.0323	0.132672
226	2.5811	2.5617	0.0241	0.0429	0.131488
227	2.6163	2.7584	0.0248	0.0561	0.128416
228	2.6651	2.5746	0.0238	0.0535	0.132448
229	2.8774	2.7955	0.0216	0.0655	0.131616
230	2.656	2.4136	0.0226	0.041	0.133024
231	2.8708	2.6017	0.0238	0.0384	0.131552
232	2.5047	2.7019	0.0226	0.0485	0.128256
233	2.7352	2.7862	0.0244	0.0712	0.12768
234	2.8094	2.8376	0.0246	0.0536	0.132192
235	2.9085	2.8216	0.0223	0.0648	0.128256
236	2.9676	2.5116	0.0221	0.0679	0.132032
237	2.9307	2.512	0.022	0.0551	0.130688
238	2.6001	2.4598	0.0222	0.046	0.128192
239	2.6	2.4663	0.0219	0.0455	0.130624
240	2.5286	2.7882	0.1074	0.0341	0.131776
241	2.553	2.4893	0.0224	0.0469	0.131744
242	3.0442	2.326	0.0225	0.1176	0.12832
243	2.5862	2.1911	0.0213	0.0494	0.128672
244	2.4267	2.2643	0.0219	0.0492	0.131328
245	2.279	2.3348	0.0213	0.0454	0.13248
246	2.3613	2.6991	0.0225	0.0499	0.131968
247	2.4259	2.4631	0.0218	0.0469	0.12848
248	2.8141	2.2004	0.0212	0.0594	0.12832
249	2.5262	2.1972	0.0212	0.0302	0.128384
250	2.2574	2.199	0.0212	0.0267	0.132224
251	2.2506	2.1732	0.0211	0.0252	0.13168
252	2.2519	2.2643	0.0221	0.0246	0.131168
253	2.2263	2.1903	0.0212	0.0247	0.131264
254	2.3481	2.2132	0.0215	0.0417	0.129696
255	2.2653	2.1851	0.0211	0.0377	0.12864
256	2.276	2.1698	0.0211	0.0304	0.13184
257	2.2428	2.1797	0.0212	0.0271	0.13136
258	2.2259	2.1914	0.0223	0.0265	0.132032
259	2.2349	2.2028	0.0217	0.0261	0.130816
260	2.2486	2.1727	0.0213	0.0264	0.131168
261	2.2901	2.3806	0.0747	0.044	0.128576
262	2.2483	2.3353	0.0212	0.0431	0.132384
263	2.5274	2.2026	0.0376	0.0475	0.131904
264	2.4056	2.1701	0.0259	0.0361	0.130912
265	2.2953	2.2529	0.0214	0.0375	0.131648
266	2.2532	2.6068	0.0233	0.0405	0.147904
267	2.3542	2.8947	0.0243	0.0528	0.128832
268	2.696	2.9442	0.0241	0.0455	0.132
269	3.0004	2.9409	0.0243	0.0525	0.13152
270	3.0505	2.2068	0.0223	0.0547	0.132192
271	3.0531	2.3423	0.0222	0.058	0.132128
272	2.2997	2.1681	0.0213	0.0465	0.132608
273	2.4467	2.1599	0.0212	0.0543	0.128768
274	2.2325	2.1584	0.0216	0.0312	0.131424
275	2.2158	2.1625	0.022	0.0261	0.13296
276	2.2201	2.1573	0.0214	0.0299	0.132032
277	2.2328	2.6707	0.0236	0.034	0.13184
278	2.2435	2.1834	0.0219	0.0448	0.129152
279	2.7765	2.1674	0.0212	0.0528	0.12848
280	2.2904	2.1384	0.0219	0.0536	0.130912
281	2.2381	2.1441	0.0212	0.0346	0.128768
282	2.1949	2.144	0.0213	0.0264	0.132032
283	2.2002	2.2447	0.0214	0.0266	0.131296
284	2.1986	2.1483	0.022	0.0263	0.13248
285	2.3376	2.1656	0.0214	0.0502	0.129248
286	2.2472	2.1396	0.0212	0.0536	0.135712
287	2.2453	2.1408	0.0212	0.0408	0.128896
288	2.2103	2.1321	0.0212	0.0362	0.12896
289	2.1959	2.1671	0.0244	0.0258	0.131616
290	2.186	2.1402	0.0223	0.0254	0.132064
291	2.2305	2.1466	0.0221	0.0292	0.13184
292	2.2307	2.1329	0.0211	0.0474	0.128256
293	2.2168	2.14	0.0211	0.0356	0.131744
294	2.1914	2.136	0.0208	0.0284	0.132192
295	2.1962	2.1343	0.0211	0.0273	0.130944
296	2.1899	2.1847	0.0216	0.0254	0.132288
297	2.1879	2.1505	0.0229	0.0255	0.133152
298	2.2528	2.1298	0.0225	0.0348	0.131776
299	2.2228	2.1304	0.0235	0.0354	0.128224
300	2.2026	2.1782	0.0215	0.0363	0.131776
301	2.2016	2.5093	0.0274	0.0345	0.131616
302	2.2808	2.2432	0.0214	0.0533	0.131008
303	2.6432	2.2377	0.0212	0.0704	0.129408
304	2.3745	2.1192	0.0212	0.0551	0.131808
305	2.3259	2.1071	0.0216	0.0448	0.128
306	2.19	2.1301	0.0212	0.0358	0.130944
307	2.2199	2.1188	0.0212	0.0633	0.132416
308	2.1998	2.1366	0.0212	0.0345	0.132512
309	2.1764	2.3197	0.0214	0.0277	0.128448
310	2.1929	2.1261	0.0217	0.0264	0.131936
311	2.4111	2.1173	0.0212	0.0463	0.128416
312	2.1831	2.1257	0.0212	0.0265	0.130912
313	2.1718	2.1091	0.0211	0.0256	0.131872
314	2.1803	2.2817	0.0216	0.0254	0.13216
315	2.1622	2.4942	0.0282	0.0251	0.146656
316	2.3571	2.3404	0.0218	0.0381	0.129088
317	2.6345	2.1071	0.0218	0.0712	0.1328
318	2.453	2.2872	0.023	0.0547	0.128096
319	2.2056	2.1034	0.0213	0.0535	0.13168
